ID,TEXT,LABEL,SOURCE_SITE
432,"This subscription renews automatically unless you turn off auto-renewal.",forced_continuity,anonymous
433,"We'll automatically charge your card ₹1499 for the next term.",forced_continuity,anonymous
434,"Free for first month, then ₹249 monthly auto-pay.",forced_continuity,anonymous
435,"Your account will be charged ₹89/week automatically after trial.",hidden_subscription,anonymous
436,"Email notifications enabled by default. You are now subscribed to marketing.",hidden_subscription,anonymous
437,"Price shown includes automatic currency conversion at checkout.",hidden_subscription,anonymous
438,"Premium features active. Standard billing applies after trial.",hidden_subscription,anonymous
439,"Your saved card will be charged ₹499 for next billing cycle.",hidden_subscription,anonymous
440,"Auto-renewal enabled. You will receive recurring charges every month.",hidden_subscription,anonymous
441,"Subscription continues until cancelled. Next payment due in 7 days.",hidden_subscription,anonymous
442,"You have been enrolled in automatic delivery every 30 days.",hidden_subscription,anonymous
443,"Recurring billing active. ₹199 will be charged on the same date monthly.",hidden_subscription,anonymous
444,"Your plan includes auto-renewal. Transaction will process automatically.",hidden_subscription,anonymous
445,"Hurry! Only 2 left in stock – order soon.",fake_scarcity,anonymous
446,"Limited availability – just 1 item remaining.",fake_scarcity,anonymous
447,"Only 5 spots left at this price. Book now!",fake_scarcity,anonymous
448,"Almost gone – 3 pieces left in warehouse.",fake_scarcity,anonymous
449,"Limited stock alert: 1 unit per customer only.",fake_scarcity,anonymous
450,"Last chance – only 4 items remaining.",fake_scarcity,anonymous
451,"Price drops in 0:02:30 – buy before timer ends!",fake_urgency,anonymous
452,"Offer expires in 0:01:15 – don't miss this deal!",fake_urgency,anonymous
453,"Flash sale ends in 0:00:45 – hurry!",fake_urgency,anonymous
454,"Only 0:03:00 left to claim your discount.",fake_urgency,anonymous
455,"Deal ends in 5 minutes – act fast!",fake_urgency,anonymous
456,"Sale closes in 0:01:30 – last call!",fake_urgency,anonymous
457,"Expires in 0:00:20 – grab before it's gone!",fake_urgency,anonymous
458,"Limited time: 0:02:00 remaining on this offer.",fake_urgency,anonymous
459,"To cancel subscription, call our support line Mon-Fri 9-10 AM only.",obstruction,anonymous
460,"Cancel your plan by mailing a physical letter to our office address.",obstruction,anonymous
461,"Click here to cancel – wait, you must call us first to verify.",obstruction,anonymous
462,"Cancel option hidden inside help center > billing > advanced > account closure.",obstruction,anonymous
463,"You cannot cancel online. Please visit our store in person.",obstruction,anonymous
464,"To stop auto-renewal, fill this PDF, print, scan, and email back.",obstruction,anonymous
465,"Cancellation requires speaking to a retention agent for 10 minutes first.",obstruction,anonymous
466,"We made cancelling easy – just chat, email, call, and confirm in writing.",obstruction,anonymous
467,"Cancel button only appears after watching this 2-minute video.",obstruction,anonymous
468,"Are you sure you want to leave without your 40% discount?",confirmshaming,anonymous
469,"Wait! Don't go – you'll lose ₹1000 cashback.",confirmshaming,anonymous
470,"No thanks, I'll pay full price instead of saving ₹200.",confirmshaming,anonymous
471,"Skip free shipping? Click 'Proceed without offer'.",confirmshaming,anonymous
472,"Decline 50% off? Press 'Continue without discount'.",confirmshaming,anonymous
473,"You're leaving without your exclusive welcome bonus – confirm.",confirmshaming,anonymous
474,"Ignore ₹500 coupon? Click 'No thanks' to proceed.",confirmshaming,anonymous
475,"Refuse double reward points? Your loss – confirm.",confirmshaming,anonymous
476,"Your account will be charged ₹99 monthly for premium features.",forced_continuity,anonymous
477,"7-day free trial ends soon. Auto-pay of ₹899 will apply.",forced_continuity,anonymous
478,"Recurring billing active – next charge ₹49 on Mar 30.",forced_continuity,anonymous
479,"Trial converts to paid automatically. Cancel to avoid ₹599 charge.",forced_continuity,anonymous
480,"Your plan includes seamless auto-renewal at ₹1299/year.",forced_continuity,anonymous
481,"Marketing emails enabled by default. You can unsubscribe anytime.",hidden_subscription,anonymous
482,"Auto-refill enabled for your monthly supply. Card will be charged.",hidden_subscription,anonymous
483,"Your selected plan includes automatic billing every billing cycle.",hidden_subscription,anonymous
484,"Recurring payment setup complete. No further action needed each month.",hidden_subscription,anonymous
485,"Subscription auto-renews. You will receive invoice automatically.",hidden_subscription,anonymous
486,"Only 3 items left – limited stock remaining.",fake_scarcity,anonymous
487,"Last unit available – will sell quickly.",fake_scarcity,anonymous
488,"Limited edition – only 2 pieces left in stock.",fake_scarcity,anonymous
489,"Ending in 0:00:35 – hurry before price rises!",fake_urgency,anonymous
490,"Sale ends in 0:01:50 – grab your deal now!",fake_urgency,anonymous
491,"Flash sale: 0:02:10 remaining on this product.",fake_urgency,anonymous
492,"To cancel account, send a notarized letter within 14 days.",obstruction,anonymous
493,"Cancel subscription? Please call between 10-11 AM on weekdays only.",obstruction,anonymous
494,"We've hidden cancel button in settings > account > billing > manage > cancel.",obstruction,anonymous
495,"You must fill a cancellation form and wait 7 days for processing.",obstruction,anonymous
496,"No thanks, I'll pass on the extra 30% off.",confirmshaming,anonymous
497,"Skip the free accessory? Click 'Continue without gift'.",confirmshaming,anonymous
498,"This product has 4.5 stars based on 12,000 reviews.",neutral,anonymous
499,"Free delivery available for orders above ₹499.",neutral,anonymous
500,"Available in 3 colors: Black, White, and Blue.",neutral,anonymous
501,"Customer support available 24/7 via chat and email.",neutral,anonymous
502,"Product dimensions: 10 x 5 x 2 inches.",neutral,anonymous
503,"Manufacturer warranty included for 1 year.",neutral,anonymous
504,"Ships within 2-3 business days.",neutral,anonymous
505,"Return policy: 30-day easy returns.",neutral,anonymous
506,"This item is eligible for free replacement.",neutral,anonymous
507,"Battery life: Up to 12 hours of continuous use.",neutral,anonymous
508,"Your membership auto-renews every year on the same date.",forced_continuity,anonymous
509,"Free trial active. ₹399 will be charged automatically after 14 days.",forced_continuity,anonymous
510,"Recurring billing enabled for your convenience. ₹649/month.",forced_continuity,anonymous
511,"Subscription includes auto-pay. Next charge on April 15.",forced_continuity,anonymous
512,"You have been subscribed to weekly newsletters by default.",hidden_subscription,anonymous
513,"Auto-renewal active. Your plan extends automatically each month.",hidden_subscription,anonymous
514,"Only 1 item left – last chance to buy.",fake_scarcity,anonymous
515,"Limited stock – 4 items remaining.",fake_scarcity,anonymous
516,"Deal ends in 0:00:10 – hurry!",fake_urgency,anonymous
517,"Price valid for next 0:01:05 only.",fake_urgency,anonymous
518,"Cancel by mailing us and waiting 10 business days for confirmation.",obstruction,anonymous
519,"To stop auto-renewal, email support with 'CANCEL' and wait 72 hours.",obstruction,anonymous
520,"No thanks, I'd rather pay more than save ₹300.",confirmshaming,anonymous
521,"This offer is available while supplies last.",neutral,anonymous
522,Browse products,neutral,anonymous
523,Explore categories,neutral,anonymous
524,View details,neutral,anonymous
525,See more options,neutral,anonymous
526,Load more results,neutral,anonymous
527,Show similar items,neutral,anonymous
528,Go to homepage,neutral,anonymous
529,Search by category,neutral,anonymous
530,Filter by price,neutral,anonymous
531,Sort by rating,neutral,anonymous
532,Compare products,neutral,anonymous
533,Read full description,neutral,anonymous
534,Check delivery options,neutral,anonymous
535,View return policy,neutral,anonymous
536,See all reviews,neutral,anonymous
