text,pattern category
Up to 5% back with Amazon Pay Iater,none
How Do I Rinse Off My Overnight Hair Oil Treatment?,none
 Shop All NFL ,none
"Someone from Portland, United States (US) purchased MODALERT recently.",social_proof
Amazing service and quality! Lee up the excellent work.,none
Plus Size Graphic Tops,none
Premium unlocked. Enjoy now.,hidden_subscription
Hair Tools,none
 PHX Mercury ,none
Limited availability – just 1 item remaining.,fake_scarcity
Hurry! Only 1 left!,scarcity
People are Freaking Out Over this Crispy French Fry Hack,fake_urgency
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,misdirection
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",obstruction
Unsubscribe requires visiting office during 9-5 on weekdays.,obstruction
 Gift Card FAQs ,none
 SAA Oil & Acrylic Brushes ,none
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",none
HURRY UP > 09H 42M 39S,urgency
LEGO Sondersets Saison Polybags Promotionals ExklusiveOpens in a new window or tab,none
Only 2 copies left,scarcity
"By submitting this form, you agree to receive marketing and information from Canva",hidden_subscription
Limited Time Sale - Buy Now!,urgency
More than 752 users are adding shapewear to their cart. Is your size left?,social_proof
 Add to Cart ,none
"Sign up for the latest updates, products and offers",none
"Mher from San Angelo, TX Recently made a purchase with Crossrope",social_proof
#6 Bestseller in Rugs This item was viewed 92 times in the last day.,social_proof
Product Starting at ₹199,none
I don’t need premium access.,confirmshaming
You may cancel your membership at any time by calling us at at 855-861-2573 (6:00AM – 5:00PM PST) or by emailing support@luckytacklebox.com. California residents may also cancel your subscription by accessing your Account through the Site.,obstruction
Hurry! Only 9 left in stock.,scarcity
You also agree to receive product-related marketing emails,hidden_subscription
I Don't Like to Save Money,misdirection
3 items left,scarcity
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",social_proof
Skip the warranty? Confirm your choice.,confirmshaming
Your order is reserved for 09:45 minutes!,urgency
Cancel your plan by mailing a physical letter to our office address.,obstruction
Custom Board Quote,none
 cm in ,none
No thanks. I don’t want to save money.,misdirection
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,none
Musical Toys,none
FLAT 50% OFF* on Full Refund on Visa Rejection,none
Sale Ends in 5 days 14 hours 42 mins 53 sec,urgency
Limited availability – 1 item per household.,fake_scarcity
Special discount of ₹287 applied. Valid for first 5 bookings of this property,fake_scarcity
Carports & Garages,none
SHOP TRIATHLON,none
By Brand All Men's Brands ,none
Cooper Remotes,none
Only 1 items left in stock!,scarcity
 ★ ★ ★ ★ ★ ,none
JFN Ladies Flat Embroidered Slip-On Dirty Shoes Vintage Thong Sandals,none
Notion is best paired with Calendar. Bring your work and life together with a seamlessly integrated calendar,none
 Redeem Gift Certificates ,none
Only 2 left.,scarcity
Skip the free accessory? Click 'No thanks'.,confirmshaming
Shipping and Duties,none
Estimated VAT overview,none
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",urgency
Only 3 left in stock!,scarcity
Decline free shipping? Click 'Proceed without offer'.,confirmshaming
Loading interface...,none
Choose your payment day. View your schedule and select pay now.,none
Shop By Fabric,none
Only: 9 in stock now,scarcity
"No, I don't feel lucky",misdirection
 ≡ Filter Reviews Clicking on the following button will update the content below ,none
"ONLY $1.99 FOR YOUR FIRST SIX MONTHS, THEN EACH YEAR YOUR MEMBERSHIP WILL AUTOMATICALLY RENEW FOR $39.99 AND BE CHARGED TO YOUR CREDIT/DEBIT CARD ON FILE. CANCEL YOUR VIP MEMBERSHIP ANY TIME TO RECEIVE A PRORATED REFUND BY CALLING (800) 543-7309. BY SUBMITTING YOUR ORDER, YOU AGREE TO THESE VIP MEMBERSHIP TERMS.",obstruction
Thin and tough - protects from minor scratches,none
Items in your cart are in high demand. But we have reserved your order.,scarcity
Trial activated. Premium access continues unless canceled.,hidden_subscription
Hurry! Only 3 Left In Stock.,scarcity
 Plant-Based Beauty ,none
"No, thanks. I'd prefer not to save.",misdirection
"Tyler in Norwalk, United States purchased a",social_proof
 Entertainment Centers & TV Stands ,none
Upgrade to Premium to watch in 4K / stream on 4 devices.,none
Only 5 left,scarcity
"This product has 4.5 stars based on 12,000 reviews.",none
WilmaNorth Carolina,none
Offer ends in 15hrs 1min 56sec!,urgency
19 people viewed this product per day,social_proof
Deal ends in 0:04:00 – hurry up!,fake_urgency
"Hurry, only 2 left in stock",scarcity
DAYS HRS MINS SECS,urgency
33 people are eyeing this item!,social_proof
Lace Front African American Wigs,none
 Data Processor Privacy Policy: https://videoly.co/privacy-policy ,none
"Healing Crystals are natural beings just like the trees, mountain or flowers. The result of diverse chemical reactions inside the earth over a millennium, gemstones are a true wonder of nature. When you touch a healing crystal, there is a transfer of heat and energy that leads to activation of chakra points. These therapeutic powers noticed in the presence of gemstones are the reason they are called healing crystals. With some crystals as old as the earth, there is immense wisdom in crystal use.",none
Nighty For Honeymoon,none
Flat Top,none
Floral Cross Stitch & Embroidery Kits,none
 Fashion Floral Short Sleeve Dress ,none
Only 867 left,scarcity
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,urgency
View details,none
What Are Healing Crystals?,none
Clocks ,none
"No thank you, I prefer to pay full price",misdirection
Hurry! Only 6 left in stock!,scarcity
Price dropping in 10 mins! Hurry!,fake_urgency
"No thank you, I prefer to pay for shipping.",misdirection
89 currently viewing,social_proof
Only 3 Left! Get it before it`s gone!,scarcity
Father's Day Gifts,none
B-Series Truck remotes,none
New In Bottoms,none
"By continuing, you agree to enroll in our monthly plan after the trial ends.",hidden_subscription
 This is a green tea without the bitterness. ,none
ONLY 1 REMAINING,scarcity
A customer service specialist will contact you soon.,none
"Like many websites, we share certain information, such as your IP address, device ID or similar online identifier, with certain third parties, such as social networks and advertising networks. This information is used to personalize advertising you see after you’ve visited our website. The California Consumer Privacy Act (“CCPA”) considers our sharing of that information in this manner to be a “sale.”For more information about the First and Third Party Cookies used please follow this link.",none
Add on something to make it extra special!,misdirection
Panther Anole,none
"There's no obligation to buy as an Xtra VIP Member, nor is there any minimum number of months or commitment for membership. You can shop or ‘Skip’ by the 5th of each month, and you can cancel your membership at any time by calling (855) SAVAGEX (open 24/7).",obstruction
Only 4 Left!,scarcity
Add a 30-day free trial of Adobe Stock,forced_continuity
Clearance! Only 4 left in stock.,scarcity
Only 2 Left,scarcity
"Easy, awesome! ready to go. Held a charge first night",none
273 units sold in the last 30 days,social_proof
Country (Optional),none
Want help faster? Log in now. We can help you more efficiently if you log in.,none
 All Shoes ,none
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,urgency
The requested page could not be found,none
This is in 5 other carts.,social_proof
 Love the way you pay ,none
Grab up to 15% OFF*,none
"Hurry, only 302 left.",scarcity
"No thanks, I don't like discounts",misdirection
$69.50 For A Limited Time Details,urgency
Sale ends in 0:01:50 – grab your deal now!,fake_urgency
 Customer Support ,none
 Amethyst Beads ,none
I don't feel lucky,misdirection
Currently 8 left in stock.,scarcity
Want a special deal? Bundle and SAVE UPTO30%,misdirection
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,urgency
Shop All,none
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,urgency
"Only 3 left , In Stock",scarcity
Limited Quantity,scarcity
 Sign In With Google ,none
Every Purchase Helps Your NRA:,none
Shop all interactive whiteboards,none
ONLY 5 LEFT!,scarcity
 VUSE Alto Menthol Pods ,none
Events and Entertainment,none
Product Recycling,none
Offer ends in 03 days 19 hours : 54 mins : 22 secs,urgency
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,urgency
Please note: we do not ship to PO Boxes,none
 Shop Optics > ,none
Hurry! 1 items left!,scarcity
Start exploring premium features instantly.,hidden_subscription
Last Shape Guide,none
"No thanks, I'll pass on the extra 30% off.",confirmshaming
+ Performance Cookies,none
Want to add one of these?,misdirection
| Add to Compare,none
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,urgency
only 7 pieces left,scarcity
Try premium risk-free. Cancel anytime.,hidden_subscription
Memory Cards,none
7 sold in the last 48 hours,social_proof
Only 4 left at this price,scarcity
Only 10 Seats Left,fake_scarcity
Stock Low : 6 items left.,scarcity
BSA FAC Air Rifles,none
2 people are viewing this,social_proof
"To cancel your order before it ships, call us.",obstruction
Jewelry and Watches,none
 Italy € EUR ,none
This item is eligible for free replacement.,none
146 people recently purchased this.,social_proof
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,urgency
Don't miss out! We've sold 38 in the last few days.,social_proof
"No, I don’t want extra rewards.",confirmshaming
See why students and faculty alike trust Grammarly.,fake_scarcity
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",social_proof
Hurry! Limited Quantity Available.,scarcity
 Brass Shankh ,none
 Active Filters English English ✘ Remove Filter ,none
Don't miss out on this item! There is only 1 left in stock.,scarcity
Your AccountTrack Your OrdersJoin Celebrations Passport,none
 GeekVape Pursue a Healthy Vaping Experience ,none
Limited Time,urgency
Clearance Optic Accessories Deals,none
ROAD CLOTHING,none
6 months No Cost EMI | Shop now,none
5 million+ reviews,fake_scarcity
Limited edition – only 2 pieces left in stock.,fake_scarcity
Get up to 25% off* on tours & attractions,none
Performance Cookies,none
" Paper, Pads & Blocks Toggle category Paper, Pads & Blocks ",none
We only have few stocks left for this product. Please don't miss the chance.,scarcity
Boxster Remotes,none
Party & Birthday Novelties,none
Here to help,none
We only have 5 left!,scarcity
Toe Ring,none
Only 2 tables left for 8:00 PM.,fake_scarcity
All Girls Clothing,none
62 people have looked at this item in the last few hours.,social_proof
Popular item! 🔥 27 people recently purchased this.,social_proof
Football,none
 Short,none
 Jumpers + Sweaters ,none
 V-neck Casual Loose Vintage Print Short Sleeve T-shirt ,none
Engine Cooling System,none
Auto-renewal is enabled for uninterrupted service.,forced_continuity
Fun Treat Tossing,none
Give a Gift,none
Surgical & Face Masks,none
___,none
Temporary Tattoos,none
"Skin Concerns: Treats mild to moderate acne (including whiteheads, blackheads, pimples, and hormonal acne) and excess oiliness.",none
 Sprouting ,none
Only 3 left in stock,scarcity
Someone from Airdrie & 10820 others bought this item recently.,social_proof
Only 1 item left in stock,scarcity
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",none
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,none
"No thanks, I don't want discount",misdirection
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,urgency
Limited Stock,scarcity
Terrarium Light Canopies,none
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",social_proof
Save BIG on Stays with FLAT 15% OFF*,none
View All Home Accents,none
HURRY! ONLY 19 LEFT IN STOCK.,scarcity
Renewal will be processed automatically.,forced_continuity
 Tweet Share Pin It Add Email ,none
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",none
 Gemstone softwares ,none
"2,221 people have purchased this item",social_proof
Share this product,none
Turn on notifications for live score updates and breaking news.,none
Low In Stock Today,scarcity
Service continues seamlessly after payment cycle.,forced_continuity
HOT PRODUCT Over 250 people are looking at this item.,social_proof
"Someone in Byron Bay, NSW just bought",social_proof
Submitted by Fermin Larracilla Pérez,none
How to cast on,none
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",social_proof
How/why the homepage uses cookies,none
Boys Purple School Uniforms,none
"To stop auto-renewal, fill this PDF, print, scan, and email back.",obstruction
Compare products,none
Trending now! Added to basket 38 times today,social_proof
Horizon Wide Neck Sweatshirt,none
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.",obstruction
"No thanks, I don’t want to save",misdirection
12 recently purchased it.,social_proof
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,urgency
Partnerships,none
Ends in 1:00:15,fake_urgency
Hurry! Only 2 left in stock – order soon.,fake_scarcity
LIMITED TIME SALE,urgency
Lease to Own conditions,none
Requiring Credit Card for a ₹0 transaction.,forced_continuity
"Available in 3 colors: Black, White, and Blue.",none
 C.P. Company ,none
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,urgency
I don’t want the best experience.,confirmshaming
Go to homepage,none
Load more results,none
Only 1 left.,scarcity
Shipping Insurance Remove Insurance,hidden_subscription
"No thanks, I don't like winning.",misdirection
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",social_proof
Earn 100% coin back,none
 LOGO BLACK ,none
"1,142 people have added to cart recently",social_proof
Currently less than 10 available,scarcity
Today's sale ends in: 00hours:57min:19sec,urgency
Compare at,misdirection
Baby Bathtubs,none
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,urgency
Skip the ₹300 cashback? Click 'No discount'.,confirmshaming
ONLY 9 LEFT,scarcity
Only 1 left in stock!,scarcity
"An item you ordered is in high demand. No worries, we have reserved your order.",scarcity
"Someone in Ampang, Malaysia just bought",social_proof
Last unit available – will sell quickly.,fake_scarcity
Women's Go-Tos,none
Combination,none
4 bought in the last 24 hours.,social_proof
Your order is reserved for 19:57 minutes.,urgency
Decades Shop,none
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",misdirection
Sorry! This product is no longer available,none
 Continue with Facebook Continue with Google ,none
Only 3 left!,scarcity
Buy with humm.,none
Spring Sale Extended,urgency
Mechanic's Wear,none
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",social_proof
Feedback,none
 shop all ,none
I prefer missing out on premium features.,confirmshaming
 info@chainedandable.com ,none
Only 1 items left,scarcity
Add your favourites to cart,none
"Want more inspiration and styling tips? Dive into The Southern Edit, Southern Tide’s lifestyle blog, and follow us on social media. ",none
 Show Password ,none
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,urgency
"Metal - Brass , hollow from inside ",none
Access all features during trial period.,hidden_subscription
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,urgency
Great Value Today,none
Recent Searches,none
8 people are looking at this artwork,social_proof
Get exclusive deals & Manage your trips Login/SignUp,obstruction
Availability: 5 items left,scarcity
ONLY 2 LEFT,scarcity
Only 25 Deals left,scarcity
Price shown includes automatic currency conversion at checkout.,hidden_subscription
STOCK IS GUARANTEED FOR 60 MINUTES,urgency
 Cordless Phones For Seniors ,none
Shop By Brands,none
Only 8 left,scarcity
"No Thanks, I'll let this offer sail away",misdirection
Buy Wearables»,none
I don't want to save money,misdirection
Time remaining: 04:50,urgency
Hurry Low Stock,scarcity
Creators' Council,none
"No, thank you. I prefer to pay the full price",misdirection
Only 65 Items Left.,scarcity
Welcome back! Continue with Google,none
Only 7 left in stock!,scarcity
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",urgency
Hurry! Only 2 left in stock,scarcity
ONLY A FEW LEFT,scarcity
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,urgency
Subscription continues until cancelled. Next payment due in 7 days.,hidden_subscription
eWriters & Graphics Tablets,none
2 left in stock,scarcity
Striped Tops,none
23% left in stock!,scarcity
69 people are viewing this,social_proof
FLASH DEAL: FLAT ₹100 OFF* on Bus Bookings,fake_urgency
"Act fast, only 7 hours left to book",fake_urgency
Free trial for 7 days – then ₹499 automatically charged to your card.,forced_continuity
"No thanks, I want to pay the full price.",misdirection
Colors,none
LightInTheBox 掲載記事,none
 Glows In The Dark ,none
 Cayman Islands USD,none
"Someone in Sasebo, Japan just bought",social_proof
"Mother’s Day is undoubtedly a significant occasion for all mothers. But, for the new moms, it is even more special. If you........... Read More...",none
"No thanks, I don't like to save",misdirection
80 Customers are considering this product right now.,social_proof
Work Solid Simple Crew Neck Half Sleeve Top,none
Men's Sports Bottoms,none
Round Boards,none
We'll auto-renew your annual plan at ₹4999 unless you call us.,forced_continuity
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,hidden_subscription
Crystal Shivlingas ,none
70% offers claimed. Hurry up!,scarcity
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,misdirection
Activate Smarty when you see this window to save! ... Upgrade to Smarty Plus for 7% Cash Back,none
 Candy & Snacks ,none
COLLEGIATE,none
"After getting my jersey on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",none
Limited-time Offer: Bundle a base and get 20% off,misdirection
Only 2 left in stock!,scarcity
Product dimensions: 10 x 5 x 2 inches.,none
"No Thanks, I like paying full price.",misdirection
異業合作 Cooperation,none
 All Birthday Gifts ,none
 Sale By Category ,none
 JOINT Oil ,none
Baby Boy Jumpsuits and Rompers,none
1 person is viewing this,social_proof
FLASH SALE | LIMITED TIME ONLY Shop Now,urgency
Items in your cart are in VERY high-demand.,scarcity
Shop now. Pay later. Always interest-free,none
Your plan includes auto-renewal. Transaction will process automatically.,hidden_subscription
Bottoms Deals,none
"Rick in Columbia, United States purchased a",social_proof
41 people have looked at this in the last couple of hours,social_proof
"To cancel, chat with bot, get ticket, then email within 7 days.",obstruction
You will be billed automatically at the end of your plan.,forced_continuity
ONLY 13 LEFT,scarcity
Continuous access enabled via auto-renewal.,forced_continuity
ADD WORLD'S MOST COMFORTABLE CHAIRS,misdirection
"1,446 people have viewed this item",social_proof
Less than 7 left!,scarcity
Hurry! Only 2 Left,scarcity
2 people are looking at this listing now,social_proof
Hair Bundles With Closure,none
"Save on Round Trip Bookings:  FLAT ₹2,250 OFF*",none
What people are saying about us...,social_proof
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",social_proof
6 people have looked at this in the last few hrs.,social_proof
Graduations,none
2 DAYS 13:06:13,urgency
"NO THANKS, I DON'T WANT TO SAVE MONEY",misdirection
Root Touch Up + Brow Filler,none
Other Applications,none
Limited Time Offer: 10% Off your first order!,urgency
Limited Quantity Available,scarcity
Sale of the day,fake_urgency
" Gift TypeFlowers, Cakes, Plants, etc. ",none
No thanks. I don’t want deals.,misdirection
Solar Powered Paw Print Ground Light,none
Hurry! Only 1 left in stock,scarcity
Shop Plus Shorts by Pattern,none
Shirts & Blouses,none
"Cancel via phone, then confirm cancellation via email link.",obstruction
Last minute deal,fake_urgency
We have 1 left in stock,scarcity
Cheapest direct,none
Parad Combo Deals ,none
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",social_proof
Strong demand! Complete your order before it's too late!,scarcity
Uncheck the box if you prefer not to receive email updates.,misdirection
Shop by Activity,none
"Dog Collars, Leads & Tethers",none
Your free week ends tomorrow – ₹99 weekly auto-debited.,forced_continuity
Extra Soft Cleansing Wipes,none
take me back to shopping,none
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",social_proof
Tidal Waves Collection,none
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,misdirection
 Every bicycle tells a story ,none
Other people want this. 10 people have this in their cart right now.,social_proof
"HURRY, LOW IN STOCK!",scarcity
"Save ₹1,000 with coupon",none
LESS THAN 5 LEFT!,scarcity
87% offers claimed. Hurry up!,scarcity
How White Cloud Prevents E-Cig Sales to Minors Read More ➞,none
"This genuine Spanish espadrille impressed our buyers so much they ordered them in a variety of gorgeous colours. With its uncomplicated design, plush leather sole and a practical platform wedge, you'll have a hard time getting through the warmer months without them. They're perfect for the beach, casual weekend barbeques or brunch with the girls.",none
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,social_proof
Your account will be charged ₹99 monthly for premium features.,forced_continuity
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",obstruction
"Oscar from Cajamarca, Peru purchased",social_proof
50% OFF for Limited Time Only!!!,urgency
Warning: Last items in stock!,scarcity
JUST 1 LEFT!,scarcity
Laundry Care,none
LAST 1 LEFT,scarcity
Transmission and Driveline,none
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",scarcity
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,misdirection
5 left,scarcity
"No, I don't want to reach my fitness goals.",confirmshaming
I’ll skip better features.,confirmshaming
Only 22 left in stock!,scarcity
All Little Boys Clothing,none
"The presence of flowers is enough to make any occasion or moment truly a memorable affair. Flowers can make an ordinary room extremely beautiful. Flowers are widely used in decorations, as gifts, or even as ornaments on various dresses. People can explore a variety of fresh vibrant flowers such as roses, tulips, orchids, carnations, sunflowers, chrysanthemums and a lot more through the help of our online gifting store. All these beautiful flowers will be delivered at your desired destination in blooming condition only. With an unmatched beauty and fragrance, these gorgeous and lovely flowers can easily mesmerise any individual in an effortless manner.",none
40 users are currently active on our website just now.,social_proof
 Data Processor Privacy Policy: https://triplelift.com/privacy ,none
 Black / White Refine by Color: Black / White ,none
 Select shake flavor: ,none
 Brand case & cloth included ,none
Only 16531 items left in stock!,scarcity
 Sunflower ,none
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,social_proof
All Brands A-Z ,none
Your cart is reserved for 14:57 minutes!,urgency
Christmas Craft Ideas,none
Limited time: 0:02:00 remaining on this offer.,fake_urgency
2049 sold in the last 7 days,social_proof
Recurring payment setup complete. No further action needed each month.,hidden_subscription
Graphic T-Shirts,none
SAVE $300.00\nfor limited time,urgency
"Hurry, only 2 left in stock!",scarcity
 Most-Hearted Styles Shop Now ,none
Speak with our customer-care executive who will help you with your buying.,none
FANSTASTIC DEALS,misdirection
"Plus, get free shipping on your first order!",none
"No thanks, I'll pay full price instead of saving ₹200.",confirmshaming
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,scarcity
Offer ends in 0:00:12 – grab now!,fake_urgency
"Michael in Pontiac, United States purchased a  ",social_proof
"No thanks, I'll pay without the 40% coupon.",confirmshaming
Discount pending $10 OFF 00:30:00,urgency
"When you visit any website, it may store or retrieve information on your browser, mostly in the form of cookies. This information might be about you, your preferences or your device and is mostly used to make the site work as you expect it to. The information does not usually directly identify you, but it can give you a more personalized web experience. Because we respect your right to privacy, you can choose not to allow some types of cookies. Click on the different category headings to find out more and change our default settings. However, blocking some types of cookies may impact your experience of the site and the services we are able to offer. ",none
5338 people viewed this in the last hour,social_proof
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,none
Price valid for next 0:02:30 only.,fake_urgency
Only 498 left,scarcity
Trial converts to paid automatically. Cancel to avoid ₹599 charge.,forced_continuity
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,social_proof
Only 3 available,scarcity
Free trial active. ₹399 will be charged automatically after 14 days.,forced_continuity
Availability: Low Stock 4 Remaining,scarcity
Selling fast!,scarcity
Order by these dates to get it by Valentine's Day.*,none
Household,none
Everything was perfect. The delivery was very smooth and the products were in great condition as well.,none
5338 people bought this,social_proof
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",none
Soft Flexible (Classic) ,none
 dFresh - Fresh Products ,none
Sale ending in 0 days 04 hours 12 minutes 10 seconds,urgency
ONLY 1 LEFT,scarcity
"""Your purchase entitles you to the following special""",misdirection
Politics And Legislation,none
Only one left in stock - order soon!,scarcity
Kick those cravings,none
Items reserved for 15:00,urgency
Best Deals On Exchange,none
Only 7 left,scarcity
ONLY 8 LEFT,scarcity
RegionBracket Right,none
 Plastic ,none
What is a cookie?,none
 Microsoft Xbox One S Wireless Controller » ,none
Your order is reserved for 07:28 minutes!,urgency
"You choose: just one box, or a  Madison Reed Membership?",misdirection
"No thanks, I don't like good deals.",misdirection
 Face Masks,none
High Gable Sheds,none
This campaign was taken down for content reasons,none
 For Wife ,none
and future features included!,none
Enjoy premium features free for 7 days. ,hidden_subscription
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",social_proof
MORE WAYS TO SHOP,none
 Round Neck Casual Loose Patchwork Printed Short Sleeve Blouse ,none
 Women's Bags ,none
"25,439 people have viewed this item",social_proof
"No, I don't feel lucky.",misdirection
Big Domain Savings,none
In Stock only 3 left,scarcity
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",social_proof
Easy Release Cleat Kit,none
Towel Rails & Racks,none
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,social_proof
90% offers claimed. Hurry up!,scarcity
All Scrapbooking Supplies,none
The World Fair Trade Organization Label guarantees that People Tree follows Fair Trade best practices in our organisation.,none
 CAMILLA World ,none
Filling Fast,fake_scarcity
Your subscription auto-renews unless cancelled 72 hours before.,forced_continuity
339 users are currently active on our website,social_proof
"At 86% off, who could say no?",confirmshaming
 Air Purifying Plants ,none
Only 9 Left.,scarcity
"No thanks, I don't want any deals",misdirection
25% OFF SELECTED JACKETS Limited Time,urgency
"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",social_proof
Offer ends in 0:00:45 seconds – grab now!,fake_urgency
Ending in 0:00:35 – hurry before price rises!,fake_urgency
Auto-refill enabled for your monthly supply. Card will be charged.,hidden_subscription
Cancel by emailing us and waiting 14 days for confirmation.,obstruction
Really good quality contacts and they work well on my eyes. Would definitely order again!!!!,none
Only 10 left in stock,scarcity
Ignore 50% off? Press 'Continue without discount'.,confirmshaming
Expand My eBay,none
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,none
Enable cookies to use the shopping cart,none
Offer ends 0Hours:04Minutes:46Seconds,urgency
167 piece(s) left for this promo,scarcity
Oxfords & Loafers,none
 Personalised Chocolates ,none
"Order now, only 2 left in stock!",scarcity
00DAYS07HOURS09MINUTES39SECONDS,urgency
 Chair Accessories ,none
Best Seller with Hot Deal,fake_scarcity
Free climate compensated shipping & returns,none
Only 16 Left in Stock!,scarcity
Your membership auto-renews every year on the same date.,forced_continuity
"Book now for ₹5,000 (Fully Refundable)",none
Product Feature,none
96 ITEM(S) LEFT IN STOCK!,scarcity
Recovery Best Sellers,none
3DAYS124606,urgency
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,none
Limited stock!,scarcity
